disease,disease_cn,status,n_test,positive_test,clinical_feature_count,behavior_feature_count,fused_feature_count,clinical_roc_auc,fused_roc_auc,delta_roc_auc,clinical_accuracy,fused_accuracy,delta_accuracy,clinical_recall,fused_recall,clinical_f1,fused_f1,clinical_balanced_accuracy,fused_balanced_accuracy,skip_reason
T2D,2型糖尿病,evaluated,2628,265,45,19,64,0.9088351072748905,0.9109861943963142,0.002151087121423756,0.8736681887366818,0.869482496194825,-0.004185692541856856,0.7283018867924528,0.6981132075471698,0.5376044568245125,0.5189340813464236,0.8091361317161587,0.793407005804901,
Hypertension,高血压,evaluated,2628,784,46,19,65,0.9124255721811501,0.9124947430165123,6.917083536228663e-05,0.8295281582952816,0.8321917808219178,0.0026636225266362112,0.8329081632653061,0.8392857142857143,0.7445838084378563,0.749003984063745,0.8304996347779893,0.8342307096374342,
HighLipid,高脂血症,evaluated,2628,674,45,19,64,0.868373176532047,0.8710732606629025,0.002700084130855429,0.7713089802130898,0.7777777777777778,0.006468797564687989,0.8338278931750742,0.8308605341246291,0.6515942028985507,0.6572769953051644,0.7917860039058585,0.795164146284423,
Obesity,肥胖,evaluated,2628,799,45,19,64,0.8879990091496274,0.8931387033135323,0.005139694163904918,0.8028919330289194,0.8097412480974124,0.006849315068493067,0.7922403003754693,0.7947434292866082,0.7096412556053812,0.7175141242937854,0.7998927034955532,0.8055182428007672,
CKD,慢性肾病,evaluated,2628,431,44,19,63,0.763795177351102,0.7631256290216463,-0.0006695483294557603,0.7949010654490106,0.7949010654490106,0.0,0.5336426914153132,0.5150812064965197,0.46046046046046046,0.4516785350966429,0.6898982687845796,0.6824381908677409,
CVD,心血管疾病,evaluated,2628,191,45,19,64,0.9052542930003631,0.9141356959784475,0.008881402978084374,0.8732876712328768,0.8820395738203958,0.008751902587519012,0.680628272251309,0.7068062827225131,0.43844856661045534,0.46551724137931033,0.7845078168806812,0.8012898873604359,
